"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4127","home page title test","chromium","2026-06-04","passed","2026-06-04","","homepagefix.spec.ts","",""
"","1675","login page title test","chromium","2026-06-04","passed","2026-06-04","","loginpage.spec.ts","",""
"","4279","home page title test","chromium","2026-06-04","passed","2026-06-04","","homepage.spec.ts","",""
"","2824","user is able to login to app test","chromium","2026-06-04","failed","2026-06-04","","loginpage.spec.ts","",""
"","4606","home page headers exist","chromium","2026-06-04","passed","2026-06-04","","homepage.spec.ts","",""
"","3963","login page title test","chromium","2026-06-04","passed","2026-06-04","","loginpagefix.spec.ts","",""
"","4877","logout link exist test","chromium","2026-06-04","passed","2026-06-04","","homepage.spec.ts","",""
"","1905","forget password link exist test","chromium","2026-06-04","passed","2026-06-04","","loginpagefix.spec.ts","",""
"","2472","user is able to login to app test","chromium","2026-06-04","passed","2026-06-04","","loginpagefix.spec.ts","",""
"","2995","forget password link exist test","chromium","2026-06-04","passed","2026-06-04","","loginpage.spec.ts","",""
"","4220","home page headers exist","chromium","2026-06-04","passed","2026-06-04","","homepagefix.spec.ts","",""
"","2351","logout link exist test","chromium","2026-06-04","passed","2026-06-04","","homepagefix.spec.ts","",""
